Study Name	Al_Orientation
Sample Name	SC_111
Run Name	15_deg
Operator	Cody
Date	6/24/2015
Time	13:59
Sign	NEG
Gratign Spacing	05.50um
Channel	3
Number Traces	5000
Files in Batch	3
Batch Number	3
dt	50.000001E-12
	
Time	Amplitude
0.000000E+0	1.020767E-4
5.000000E-11	8.331986E-5
1.000000E-10	6.327452E-5
1.500000E-10	3.253341E-5
2.000000E-10	-3.147827E-6
2.500000E-10	-2.588973E-5
3.000000E-10	-3.559837E-5
3.500000E-10	-4.719634E-5
4.000000E-10	-6.331527E-5
4.500000E-10	-7.507033E-5
5.000000E-10	-7.626531E-5
5.500000E-10	-6.255636E-5
6.000000E-10	-4.177871E-5
6.500000E-10	-3.080430E-5
7.000000E-10	-2.049661E-5
7.500000E-10	7.341131E-6
8.000000E-10	3.874758E-5
8.500000E-10	5.661081E-5
9.000000E-10	7.315339E-5
9.500000E-10	9.724460E-5
1.000000E-9	1.127859E-4
1.050000E-9	1.184566E-4
1.100000E-9	1.269606E-4
1.150000E-9	1.257511E-4
1.200000E-9	1.060186E-4
1.250000E-9	8.362646E-5
1.300000E-9	6.534545E-5
1.350000E-9	4.406750E-5
1.400000E-9	1.713679E-5
1.450000E-9	-1.032875E-5
1.500000E-9	-3.386753E-5
1.550000E-9	-5.427057E-5
1.600000E-9	-7.447854E-5
1.650000E-9	-9.227272E-5
1.700000E-9	-1.010543E-4
1.750000E-9	-9.824658E-5
1.800000E-9	-8.416543E-5
1.850000E-9	-6.577704E-5
1.900000E-9	-5.117247E-5
1.950000E-9	-3.529453E-5
2.000000E-9	-1.337852E-5
2.050000E-9	1.400415E-5
2.100000E-9	4.847556E-5
2.150000E-9	8.362854E-5
2.200000E-9	1.055055E-4
2.250000E-9	1.144370E-4
2.300000E-9	1.289097E-4
2.350000E-9	1.465985E-4
2.400000E-9	1.394653E-4
2.450000E-9	1.163394E-4
2.500000E-9	1.107243E-4
2.550000E-9	1.107868E-4
2.600000E-9	9.230552E-5
2.650000E-9	6.653629E-5
2.700000E-9	4.946096E-5
2.750000E-9	3.936838E-5
2.800000E-9	2.806458E-5
2.850000E-9	1.570357E-5
2.900000E-9	1.080592E-5
2.950000E-9	1.498092E-5
3.000000E-9	2.764301E-5
3.050000E-9	4.939881E-5
3.100000E-9	6.815802E-5
3.150000E-9	7.430659E-5
3.200000E-9	8.091057E-5
3.250000E-9	9.539914E-5
3.300000E-9	1.078768E-4
3.350000E-9	1.173431E-4
3.400000E-9	1.196630E-4
3.450000E-9	1.079680E-4
3.500000E-9	9.508667E-5
3.550000E-9	8.331227E-5
3.600000E-9	6.212788E-5
3.650000E-9	4.417833E-5
3.700000E-9	3.882181E-5
3.750000E-9	2.590595E-5
3.800000E-9	-5.486340E-7
3.850000E-9	-1.761878E-5
3.900000E-9	-2.534075E-5
3.950000E-9	-4.020531E-5
4.000000E-9	-4.861263E-5
4.050000E-9	-4.073979E-5
4.100000E-9	-3.579897E-5
4.150000E-9	-3.360893E-5
4.200000E-9	-2.142055E-5
4.250000E-9	-1.250775E-5
4.300000E-9	-4.445696E-6
4.350000E-9	2.154416E-5
4.400000E-9	4.530080E-5
4.450000E-9	5.076056E-5
4.500000E-9	6.410041E-5
4.550000E-9	9.082673E-5
4.600000E-9	1.081109E-4
4.650000E-9	1.237979E-4
4.700000E-9	1.466859E-4
4.750000E-9	1.487841E-4
4.800000E-9	1.350261E-4
4.850000E-9	1.396945E-4
4.900000E-9	1.458310E-4
4.950000E-9	1.329013E-4
5.000000E-9	1.244833E-4
5.050000E-9	1.245209E-4
5.100000E-9	1.141539E-4
5.150000E-9	9.773592E-5
5.200000E-9	8.257339E-5
5.250000E-9	6.633465E-5
5.300000E-9	5.311081E-5
5.350000E-9	4.081989E-5
5.400000E-9	2.938869E-5
5.450000E-9	3.266427E-5
5.500000E-9	4.080297E-5
5.550000E-9	2.915598E-5
5.600000E-9	1.128135E-5
5.650000E-9	1.481277E-5
5.700000E-9	3.396801E-5
5.750000E-9	4.973062E-5
5.800000E-9	5.643334E-5
5.850000E-9	5.819560E-5
5.900000E-9	6.464939E-5
5.950000E-9	7.869946E-5
6.000000E-9	9.046316E-5
6.050000E-9	9.273365E-5
6.100000E-9	8.656506E-5
6.150000E-9	7.798165E-5
6.200000E-9	7.464288E-5
6.250000E-9	7.666962E-5
6.300000E-9	7.510589E-5
6.350000E-9	6.486139E-5
6.400000E-9	5.065905E-5
6.450000E-9	3.644981E-5
6.500000E-9	2.341794E-5
6.550000E-9	1.561898E-5
6.600000E-9	1.458766E-5
6.650000E-9	1.674145E-5
6.700000E-9	1.885416E-5
6.750000E-9	2.068582E-5
6.800000E-9	2.158801E-5
6.850000E-9	2.160251E-5
6.900000E-9	2.355121E-5
6.950000E-9	2.759570E-5
7.000000E-9	3.436403E-5
7.050000E-9	4.111855E-5
7.100000E-9	3.611628E-5
7.150000E-9	2.586314E-5
7.200000E-9	3.114991E-5
7.250000E-9	4.452464E-5
7.300000E-9	5.160267E-5
7.350000E-9	5.897419E-5
7.400000E-9	6.567381E-5
7.450000E-9	6.721095E-5
7.500000E-9	7.133796E-5
7.550000E-9	7.702697E-5
7.600000E-9	8.089124E-5
7.650000E-9	8.731119E-5
7.700000E-9	8.927922E-5
7.750000E-9	8.528134E-5
7.800000E-9	9.278579E-5
7.850000E-9	1.054627E-4
7.900000E-9	1.009483E-4
7.950000E-9	9.204795E-5
8.000000E-9	9.211527E-5
8.050000E-9	8.691861E-5
8.100000E-9	7.710431E-5
8.150000E-9	6.691574E-5
8.200000E-9	5.144143E-5
8.250000E-9	4.595095E-5
8.300000E-9	5.573107E-5
8.350000E-9	5.740010E-5
8.400000E-9	4.752641E-5
8.450000E-9	4.173969E-5
8.500000E-9	4.547586E-5
8.550000E-9	6.068776E-5
8.600000E-9	7.116463E-5
8.650000E-9	6.001172E-5
8.700000E-9	5.754304E-5
8.750000E-9	7.717544E-5
8.800000E-9	8.314240E-5
8.850000E-9	7.803827E-5
8.900000E-9	8.276467E-5
8.950000E-9	7.847918E-5
9.000000E-9	6.204640E-5
9.050000E-9	5.523629E-5
9.100000E-9	5.395845E-5
9.150000E-9	4.371360E-5
9.200000E-9	2.791991E-5
9.250000E-9	1.731667E-5
9.300000E-9	1.336126E-5
9.350000E-9	9.389272E-6
9.400000E-9	1.153996E-5
9.450000E-9	2.758051E-5
9.500000E-9	4.236670E-5
9.550000E-9	4.626549E-5
9.600000E-9	5.153949E-5
9.650000E-9	6.577704E-5
9.700000E-9	8.378218E-5
9.750000E-9	9.207039E-5
9.800000E-9	8.749383E-5
9.850000E-9	9.372837E-5
9.900000E-9	1.185157E-4
9.950000E-9	1.283199E-4
1.000000E-8	1.123692E-4
1.005000E-8	1.091920E-4
1.010000E-8	1.300301E-4
1.015000E-8	1.368281E-4
1.020000E-8	1.232479E-4
1.025000E-8	1.209032E-4
1.030000E-8	1.245720E-4
1.035000E-8	1.105779E-4
1.040000E-8	9.692488E-5
1.045000E-8	1.009407E-4
1.050000E-8	9.815439E-5
1.055000E-8	7.627843E-5
1.060000E-8	5.893068E-5
1.065000E-8	5.867104E-5
1.070000E-8	6.074197E-5
1.075000E-8	5.235053E-5
1.080000E-8	3.662175E-5
1.085000E-8	2.298704E-5
1.090000E-8	1.556477E-5
1.095000E-8	6.331561E-6
1.100000E-8	-5.691776E-6
1.105000E-8	-3.475143E-6
1.110000E-8	7.058700E-6
1.115000E-8	-4.350402E-7
1.120000E-8	-1.568147E-5
1.125000E-8	-1.521191E-5
1.130000E-8	-1.415469E-5
1.135000E-8	-2.301742E-5
1.140000E-8	-2.125896E-5
1.145000E-8	-8.895191E-6
1.150000E-8	-4.015145E-6
1.155000E-8	-1.185312E-6
1.160000E-8	1.148506E-5
1.165000E-8	3.062338E-5
1.170000E-8	4.808299E-5
1.175000E-8	5.679104E-5
1.180000E-8	5.898696E-5
1.185000E-8	6.475124E-5
1.190000E-8	6.901533E-5
1.195000E-8	6.413908E-5
1.200000E-8	6.008354E-5
1.205000E-8	5.704931E-5
1.210000E-8	4.796594E-5
