LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	19:41:15.4832587242126464844
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	2015/03/06	
Time	19:41:15.4832587242126464844	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.002766
5.000000E-11	0.002816
1.000000E-10	0.002719
1.500000E-10	0.002822
2.000000E-10	0.002753
2.500000E-10	0.002884
3.000000E-10	0.002713
3.500000E-10	0.002662
4.000000E-10	0.002572
4.500000E-10	0.002375
5.000000E-10	0.002159
5.500000E-10	0.002147
6.000000E-10	0.002175
6.500000E-10	0.002125
7.000000E-10	0.002128
7.500000E-10	0.002144
8.000000E-10	0.002028
8.500000E-10	0.002069
9.000000E-10	0.002197
9.500000E-10	0.002237
1.000000E-9	0.002206
1.050000E-9	0.002250
1.100000E-9	0.002134
1.150000E-9	0.002091
1.200000E-9	0.001956
1.250000E-9	0.001941
1.300000E-9	0.001816
1.350000E-9	0.001931
1.400000E-9	0.001900
1.450000E-9	0.001931
1.500000E-9	0.001950
1.550000E-9	0.001956
1.600000E-9	0.002063
1.650000E-9	0.002000
1.700000E-9	0.002041
1.750000E-9	0.002134
1.800000E-9	0.002150
1.850000E-9	0.002166
1.900000E-9	0.002203
1.950000E-9	0.002219
2.000000E-9	0.002131
2.050000E-9	0.002209
2.100000E-9	0.002166
2.150000E-9	0.002200
2.200000E-9	0.002122
2.250000E-9	0.002125
2.300000E-9	0.002047
2.350000E-9	0.002178
2.400000E-9	0.002053
2.450000E-9	0.001953
2.500000E-9	0.001844
2.550000E-9	0.001931
2.600000E-9	0.001744
2.650000E-9	0.001906
2.700000E-9	0.001878
2.750000E-9	0.001831
2.800000E-9	0.001822
2.850000E-9	0.001822
2.900000E-9	0.001784
2.950000E-9	0.001766
3.000000E-9	0.001638
3.050000E-9	0.001628
3.100000E-9	0.001616
3.150000E-9	0.001669
3.200000E-9	0.001619
3.250000E-9	0.001578
3.300000E-9	0.001556
3.350000E-9	0.001516
3.400000E-9	0.001488
3.450000E-9	0.001606
3.500000E-9	0.001600
3.550000E-9	0.001603
3.600000E-9	0.001603
3.650000E-9	0.001591
3.700000E-9	0.001513
3.750000E-9	0.001556
3.800000E-9	0.001522
3.850000E-9	0.001531
3.900000E-9	0.001416
3.950000E-9	0.001409
4.000000E-9	0.001341
4.050000E-9	0.001469
4.100000E-9	0.001528
4.150000E-9	0.001647
4.200000E-9	0.001713
4.250000E-9	0.001731
4.300000E-9	0.001622
4.350000E-9	0.001694
4.400000E-9	0.001691
4.450000E-9	0.001728
4.500000E-9	0.001600
4.550000E-9	0.001553
4.600000E-9	0.001441
4.650000E-9	0.001303
4.700000E-9	0.001069
4.750000E-9	0.000903
4.800000E-9	0.000500
4.850000E-9	-8.125000E-5
4.900000E-9	-0.000888
4.950000E-9	-0.001884
5.000000E-9	-0.003188
5.050000E-9	-0.004816
5.100000E-9	-0.006797
5.150000E-9	-0.009137
5.200000E-9	-0.011928
5.250000E-9	-0.014747
5.300000E-9	-0.017959
5.350000E-9	-0.020941
5.400000E-9	-0.023750
5.450000E-9	-0.026175
5.500000E-9	-0.028238
