LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	17:14:04.5061554908752441406
***End_of_Header***	
	
Channels	1	
Samples	1000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.001908
5.000000E-11	0.001913
1.000000E-10	0.001886
1.500000E-10	0.001886
2.000000E-10	0.001869
2.500000E-10	0.001863
3.000000E-10	0.001781
3.500000E-10	0.001838
4.000000E-10	0.001861
4.500000E-10	0.001845
5.000000E-10	0.001950
5.500000E-10	0.002008
6.000000E-10	0.002009
6.500000E-10	0.001995
7.000000E-10	0.001931
7.500000E-10	0.001931
8.000000E-10	0.001895
8.500000E-10	0.001820
9.000000E-10	0.001783
9.500000E-10	0.001711
1.000000E-9	0.001713
1.050000E-9	0.001758
1.100000E-9	0.001745
1.150000E-9	0.001800
1.200000E-9	0.001755
1.250000E-9	0.001758
1.300000E-9	0.001717
1.350000E-9	0.001713
1.400000E-9	0.001683
1.450000E-9	0.001742
1.500000E-9	0.001681
1.550000E-9	0.001656
1.600000E-9	0.001692
1.650000E-9	0.001717
1.700000E-9	0.001628
1.750000E-9	0.001720
1.800000E-9	0.001700
1.850000E-9	0.001738
1.900000E-9	0.001659
1.950000E-9	0.001728
2.000000E-9	0.001686
2.050000E-9	0.001678
2.100000E-9	0.001580
2.150000E-9	0.001583
2.200000E-9	0.001567
2.250000E-9	0.001622
2.300000E-9	0.001641
2.350000E-9	0.001672
2.400000E-9	0.001714
2.450000E-9	0.001720
2.500000E-9	0.001791
2.550000E-9	0.001861
2.600000E-9	0.001903
2.650000E-9	0.002014
2.700000E-9	0.002048
2.750000E-9	0.002089
2.800000E-9	0.002175
2.850000E-9	0.002208
2.900000E-9	0.002252
2.950000E-9	0.002330
3.000000E-9	0.002375
3.050000E-9	0.002430
3.100000E-9	0.002488
3.150000E-9	0.002541
3.200000E-9	0.002613
3.250000E-9	0.002728
3.300000E-9	0.002869
3.350000E-9	0.003117
3.400000E-9	0.003316
3.450000E-9	0.003684
3.500000E-9	0.004025
3.550000E-9	0.004344
3.600000E-9	0.004702
3.650000E-9	0.005019
3.700000E-9	0.005191
3.750000E-9	0.005128
3.800000E-9	0.004888
3.850000E-9	0.004322
3.900000E-9	0.003384
3.950000E-9	0.002103
4.000000E-9	0.000517
4.050000E-9	-0.001352
4.100000E-9	-0.003422
4.150000E-9	-0.005667
4.200000E-9	-0.007944
4.250000E-9	-0.009973
4.300000E-9	-0.011866
4.350000E-9	-0.013297
4.400000E-9	-0.014261
4.450000E-9	-0.014609
4.500000E-9	-0.014503
4.550000E-9	-0.013838
4.600000E-9	-0.012847
4.650000E-9	-0.011597
4.700000E-9	-0.010278
4.750000E-9	-0.008973
4.800000E-9	-0.007947
4.850000E-9	-0.007222
4.900000E-9	-0.006897
4.950000E-9	-0.006842
5.000000E-9	-0.007034
5.050000E-9	-0.007364
5.100000E-9	-0.007714
5.150000E-9	-0.007923
5.200000E-9	-0.007967
5.250000E-9	-0.007645
5.300000E-9	-0.007089
5.350000E-9	-0.006330
5.400000E-9	-0.005414
5.450000E-9	-0.004394
5.500000E-9	-0.003439
