LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	16:27:13.1953577995300292969
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.001872
5.000000E-11	0.001953
1.000000E-10	0.002006
1.500000E-10	0.002000
2.000000E-10	0.002131
2.500000E-10	0.002191
3.000000E-10	0.002184
3.500000E-10	0.002178
4.000000E-10	0.002194
4.500000E-10	0.002213
5.000000E-10	0.002181
5.500000E-10	0.002216
6.000000E-10	0.002191
6.500000E-10	0.002075
7.000000E-10	0.001863
7.500000E-10	0.001928
8.000000E-10	0.001866
8.500000E-10	0.001797
9.000000E-10	0.001891
9.500000E-10	0.001931
1.000000E-9	0.001978
1.050000E-9	0.002019
1.100000E-9	0.002091
1.150000E-9	0.002153
1.200000E-9	0.002100
1.250000E-9	0.001991
1.300000E-9	0.001934
1.350000E-9	0.001963
1.400000E-9	0.001881
1.450000E-9	0.001909
1.500000E-9	0.001872
1.550000E-9	0.001806
1.600000E-9	0.001828
1.650000E-9	0.001881
1.700000E-9	0.001897
1.750000E-9	0.001888
1.800000E-9	0.001850
1.850000E-9	0.001913
1.900000E-9	0.001878
1.950000E-9	0.001919
2.000000E-9	0.001969
2.050000E-9	0.002159
2.100000E-9	0.002125
2.150000E-9	0.002197
2.200000E-9	0.002284
2.250000E-9	0.002341
2.300000E-9	0.002241
2.350000E-9	0.002159
2.400000E-9	0.002128
2.450000E-9	0.002184
2.500000E-9	0.002066
2.550000E-9	0.002119
2.600000E-9	0.002087
2.650000E-9	0.002113
2.700000E-9	0.001953
2.750000E-9	0.001947
2.800000E-9	0.001978
2.850000E-9	0.002125
2.900000E-9	0.002097
2.950000E-9	0.002025
3.000000E-9	0.002125
3.050000E-9	0.002209
3.100000E-9	0.002188
3.150000E-9	0.002259
3.200000E-9	0.002297
3.250000E-9	0.002231
3.300000E-9	0.002256
3.350000E-9	0.002441
3.400000E-9	0.002463
3.450000E-9	0.002469
3.500000E-9	0.002456
3.550000E-9	0.002450
3.600000E-9	0.002413
3.650000E-9	0.002328
3.700000E-9	0.002309
3.750000E-9	0.002256
3.800000E-9	0.002169
3.850000E-9	0.002091
3.900000E-9	0.002131
3.950000E-9	0.002197
4.000000E-9	0.002234
4.050000E-9	0.002259
4.100000E-9	0.002175
4.150000E-9	0.002153
4.200000E-9	0.002181
4.250000E-9	0.002219
4.300000E-9	0.002278
4.350000E-9	0.002366
4.400000E-9	0.002350
4.450000E-9	0.002372
4.500000E-9	0.002384
4.550000E-9	0.002478
4.600000E-9	0.002475
4.650000E-9	0.002488
4.700000E-9	0.002491
4.750000E-9	0.002425
4.800000E-9	0.002534
4.850000E-9	0.002503
4.900000E-9	0.002469
4.950000E-9	0.002434
5.000000E-9	0.002434
5.050000E-9	0.002594
5.100000E-9	0.002550
5.150000E-9	0.002725
5.200000E-9	0.002775
5.250000E-9	0.002747
5.300000E-9	0.002813
5.350000E-9	0.002828
5.400000E-9	0.002722
5.450000E-9	0.002719
5.500000E-9	0.002737
5.550000E-9	0.002675
5.600000E-9	0.002766
