LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/07
Time	10:53:36.9862933158874511719
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
0.000000	0.001663
5.000000E-11	0.001694
1.000000E-10	0.001731
1.500000E-10	0.001888
2.000000E-10	0.001925
2.500000E-10	0.001981
3.000000E-10	0.001991
3.500000E-10	0.001947
4.000000E-10	0.001875
4.500000E-10	0.001900
5.000000E-10	0.001863
5.500000E-10	0.001847
6.000000E-10	0.001744
6.500000E-10	0.001766
7.000000E-10	0.001744
7.500000E-10	0.001697
8.000000E-10	0.001684
8.500000E-10	0.001594
9.000000E-10	0.001541
9.500000E-10	0.001541
1.000000E-9	0.001538
1.050000E-9	0.001606
1.100000E-9	0.001513
1.150000E-9	0.001531
1.200000E-9	0.001513
1.250000E-9	0.001575
1.300000E-9	0.001694
1.350000E-9	0.001753
1.400000E-9	0.001766
1.450000E-9	0.002019
1.500000E-9	0.002056
1.550000E-9	0.002075
1.600000E-9	0.002069
1.650000E-9	0.002162
1.700000E-9	0.002087
1.750000E-9	0.002156
1.800000E-9	0.002109
1.850000E-9	0.002138
1.900000E-9	0.002191
1.950000E-9	0.002225
2.000000E-9	0.002328
2.050000E-9	0.002353
2.100000E-9	0.002441
2.150000E-9	0.002538
2.200000E-9	0.002450
2.250000E-9	0.002547
2.300000E-9	0.002450
2.350000E-9	0.002566
2.400000E-9	0.002481
2.450000E-9	0.002475
2.500000E-9	0.002491
2.550000E-9	0.002534
2.600000E-9	0.002584
2.650000E-9	0.002647
2.700000E-9	0.002675
2.750000E-9	0.002747
2.800000E-9	0.002603
2.850000E-9	0.002631
2.900000E-9	0.002572
2.950000E-9	0.002528
3.000000E-9	0.002534
3.050000E-9	0.002466
3.100000E-9	0.002363
3.150000E-9	0.002228
3.200000E-9	0.002225
3.250000E-9	0.002359
3.300000E-9	0.002359
3.350000E-9	0.002559
3.400000E-9	0.002453
3.450000E-9	0.002672
3.500000E-9	0.002669
3.550000E-9	0.002781
3.600000E-9	0.002866
3.650000E-9	0.002716
3.700000E-9	0.002716
3.750000E-9	0.002697
3.800000E-9	0.002609
3.850000E-9	0.002584
3.900000E-9	0.002569
3.950000E-9	0.002616
4.000000E-9	0.002763
4.050000E-9	0.002900
4.100000E-9	0.003041
4.150000E-9	0.003269
4.200000E-9	0.003553
4.250000E-9	0.003716
4.300000E-9	0.003988
4.350000E-9	0.004325
4.400000E-9	0.004738
4.450000E-9	0.005163
4.500000E-9	0.005681
4.550000E-9	0.006288
4.600000E-9	0.006869
4.650000E-9	0.007716
4.700000E-9	0.008484
4.750000E-9	0.009334
4.800000E-9	0.010016
4.850000E-9	0.011084
4.900000E-9	0.011994
4.950000E-9	0.013100
5.000000E-9	0.014134
5.050000E-9	0.015484
5.100000E-9	0.016716
5.150000E-9	0.018200
5.200000E-9	0.019669
5.250000E-9	0.021100
5.300000E-9	0.022578
5.350000E-9	0.023950
5.400000E-9	0.025025
5.450000E-9	0.025784
5.500000E-9	0.026081
5.550000E-9	0.026081
5.600000E-9	0.025509
